judul,harga,gambar
Buku Pengantar Sistem Enterprise Studi Kasus ...,91000,https://deepublishstore.com/wp-content/uploads/2023/07/pengantar-sistem-cover-200x267.png
Buku Ekonomi Syariah di Indonesia: Tinjauan A...,52000,https://deepublishstore.com/wp-content/uploads/2022/12/Ekonomi-Syariah_Nur-Hidayah-rev-4.0-70gr-Convert-Depan-300x400.jpg
Buku Mengenal Ekonomi Syariah dalam Kompilasi...,155000,https://deepublishstore.com/wp-content/uploads/2022/04/Mengenal-Ekonomi-Syariah_Luciana-rev-2.0-HVS70gr-depan-300x400.jpg
Buku Perancangan Tata Letak Pabrik,111000,https://deepublishstore.com/wp-content/uploads/2017/08/Perancangan-Tata-Letak-Pabrik-Muh-Arif-depan1-300x400.jpg
"Buku Keuangan Negara, Daerah Dan Desa",70000,https://deepublishstore.com/wp-content/uploads/2024/11/Screenshot-2024-11-22-111954-200x267.png
Buku Model Tata Kelola Bank Syariah Sebuah Ri...,93000,https://deepublishstore.com/wp-content/uploads/2023/10/ttata-kelola-p-cover-200x267.png
Buku Kepatuhan Wajib Pajak dari Perspektif In...,142000,https://deepublishstore.com/wp-content/uploads/2022/06/Kepatuhan-Wajib-Pajak-dari-Perspektif_Heliani_70gr_Convert_Depan-300x400.jpg
Buku Iklim Organisasi Era Digital (Konseptual...,66000,https://deepublishstore.com/wp-content/uploads/2021/04/Iklim-Organisasi-Era-Digital_Fakhry-Zamzam-rev-1.0-depan-scaled-300x400.jpg
Buku Manajemen Pengadaan Barang Dan Jasa,131000,https://deepublishstore.com/wp-content/uploads/2019/09/Manajemen-Pengadaan-Barang-dan-Jasa_Hertin-Indira-U-depan-300x400.jpg
Buku Ajar Pengantar Bisnis,64500,https://deepublishstore.com/wp-content/uploads/2018/01/Pengantar-Bisnis-Convert-ISBN-ebook-depan-300x400.jpg
Buku Marketing Public Relations –Diantara P...,0,https://deepublishstore.com/wp-content/uploads/2017/12/Marketing-Public-Relations-Convert-ISBN-ebook-depan-scaled-300x400.jpg
Buku Pengantar Dasar-Dasar Kepemimpinan,89000,https://deepublishstore.com/wp-content/uploads/2017/02/PENGANTAR-DASAR-DASAR-KEPEMIMPINAN-Convert-depan-300x400.jpg
Buku Financial Technology 5.0,57500,https://deepublishstore.com/wp-content/uploads/2025/05/2504082_Financial-Technology-5.0_Prof-Suryanto-rev-1.0-depan-200x267.jpg
Buku Transformasi Industri Pariwisata di Era ...,83000,https://deepublishstore.com/wp-content/uploads/2024/07/Transformasi-Industri-Pariwisata-di-Era-Digital-200x267.png
Buku Teknik Perhitungan PPh Pasal 21/26,140000,https://deepublishstore.com/wp-content/uploads/2023/09/teknik-perhitungan-cover-200x267.png
Buku Pengantar Akuntansi 1,100000,https://deepublishstore.com/wp-content/uploads/2023/03/pengantar-akuntansi-_-1-200x267.png
Buku Merek Dagang Tingkatkan Ekonomi Kreatif,85000,https://deepublishstore.com/wp-content/uploads/2021/03/Merek-Dagang_Suryansyah_Rev-2.0_70gr_Convert_Depan-scaled-300x400.jpg
"Buku Pajak Lalu Lintas Barang (Kepabeanan, Ek...",66000,https://deepublishstore.com/wp-content/uploads/2021/02/Pajak-Lalu-Lintas-Barang_Astri-Warih-Anjarwi-rev-5.0-80gr-depan-scaled-300x400.jpg
Buku Pajak Internasional,127000,https://deepublishstore.com/wp-content/uploads/2021/01/Pajak-Internasional_Kartika-Putri-K-Rev-1.0_70gr_Convert_Depan-scaled-300x400.jpg
Buku Govermental Accounting (Akuntansi Pemeri...,122000,https://deepublishstore.com/wp-content/uploads/2020/03/Govermental-Accounting_Anwar-Sadat-rev-1.0-80gr-Convert-depan-scaled-300x400.jpg
Buku Sistem Informasi Akuntansi dengan Pendek...,163000,https://deepublishstore.com/wp-content/uploads/2020/02/Sistem-Informasi-Akuntansi_Taufan-Adi-rev-1.0-Convert-depan-scaled-300x400.jpg
Buku Manajemen Usaha Kecil dan Kewirausahaan,107000,https://deepublishstore.com/wp-content/uploads/2018/11/Manajemen-Usaha-Kecil-dan-Kewirausahaan_Dyanasari-depan-300x400.jpg
Akuntansi: Lembaga Keuangan Syariah 1,67000,https://deepublishstore.com/wp-content/uploads/2016/10/Akuntansi-Lembaga-Keuangan-Syariah-1-1-200x267.jpg
